,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: On Peak,,,,
5,As Of: 11/04/2013,,,,
6,As Of : 11/4/2013,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Nov 2013,35.45,33.26,33.23,32.05
9,Dec 2013,30.9,30.45,29.89,29.79
10,Jan 2014,31.68,35.43,31.69,31.69
11,Feb 2014,31.16,31.17,31.17,31.17
12,Mar 2014,34.79,31.22,32.88,31.94
13,Apr 2014,37.57,34.72,36.62,32.86
14,May 2014,36.48,33.65,35.53,32.73
15,Jun 2014,48.91,46.99,46.99,46.03
16,Jul 2014,65.03,64.99,64,66.03
17,Aug 2014,91.32,90.29,90.34,92.24
18,Sep 2014,41.99,42.75,40.2,39.3
19,Oct 2014,34.45,33.01,32.78,30.26
20,Nov 2014,29.8,34.4,28.05,26.47
21,Dec 2014,27.37,34.03,33.15,33.11
22,Jan 2015,33.23,35.46,33.22,36.57
23,Feb 2015,34.15,36.72,34.14,34.1
24,Mar 2015,37.7,35.94,35.98,33.38
25,Apr 2015,40.08,37.39,39.19,34.72
26,May 2015,41.62,36.97,39.77,36.07
27,Jun 2015,52.9,49.99,50.01,48.11
28,Jul 2015,71.02,70,70.02,71.01
29,Aug 2015,100.98,99.99,100.01,101.93
30,Sep 2015,46.32,42.73,43.6,40.9
31,Oct 2015,36.94,32.7,34.39,30.97
32,Nov 2015,32.36,30.98,30.75,28.43
33,Dec 2015,29.12,34.9,34.03,34.87
34,Jan 2016,33.8,34.02,33.68,36.33
35,Feb 2016,35.12,34.57,34.33,34.24
36,Mar 2016,37.9,35.26,35.32,32.69
37,Apr 2016,40,35.62,37.44,32.97
38,May 2016,42.29,37.62,38.68,34.97
39,Jun 2016,53.62,50.68,50.7,47.76
40,Jul 2016,66.45,65.44,64.47,66.44
41,Aug 2016,97.24,96.17,95.31,97.16
42,Sep 2016,45.78,41.31,42.2,39.49
43,Oct 2016,36.4,32.12,33.81,30.4
44,Nov 2016,31.84,30.34,30.15,27.18
45,Dec 2016,28.58,34.12,33.29,33.21
46,Jan 2017,32.06,32.21,31.26,34.38
47,Feb 2017,33.17,32.59,32.36,32.2
48,Mar 2017,35.66,34.38,34.45,31.77
49,Apr 2017,39.17,35.6,36.6,31.27
50,May 2017,41.46,36.78,38.73,33.25
51,Jun 2017,49.92,45.97,46.99,43.06
52,Jul 2017,53.57,52.57,51.59,52.59
53,Aug 2017,86.27,85.2,84.33,85.24
54,Sep 2017,44.93,40.46,41.36,38.62
55,Oct 2017,36.26,31.97,32.93,29.49
56,Nov 2017,32.21,30.1,29.9,27.53
57,Dec 2017,28.9,35.1,34.27,34.16
58,Jan 2018,31.54,31.03,30.73,32.92
59,Feb 2018,32,32.08,31.17,30.95
60,Mar 2018,35.87,34.6,34.66,31.16
61,Apr 2018,39.38,34.97,36.78,31.41
62,May 2018,41.77,37.05,38.13,32.58
63,Jun 2018,47.42,43.45,43.47,39.52
64,Jul 2018,51.13,50.11,49.12,49.13
65,Aug 2018,85.41,84.36,83.47,83.44
66,Sep 2018,44.65,40.96,41.02,38.23
67,Oct 2018,36.69,32.36,33.32,29.8
68,Nov 2018,32.57,30.44,30.2,27.14
69,Dec 2018,28.81,35.64,34.79,34.66
70,Jan 2019,36.14,35.2,35.13,34.14
71,Feb 2019,35.94,35.82,34.93,34.87
72,Mar 2019,39.58,38.28,38.28,34.24
73,Apr 2019,42.25,37.24,39.27,33.22
74,May 2019,43.18,38.12,39.19,33.17
75,Jun 2019,47.17,43.04,43.09,38.95
76,Jul 2019,50.17,49.12,47.09,48.12
77,Aug 2019,86.02,84.94,82.94,83.96
78,Sep 2019,47.78,43.72,43.72,40.68
79,Oct 2019,41.12,36.12,37.13,33.11
80,Nov 2019,38.21,35.53,35.27,32.33
81,Dec 2019,33.56,33.94,33.09,32.97
82,Jan 2020,36.04,36.06,35.98,34.99
83,Feb 2020,34.92,34.82,33.92,33.86
84,Mar 2020,39.51,38.1,38.1,35.07
85,Apr 2020,42.97,37.99,39.98,32.98
86,May 2020,42.9,37.86,39.91,33.93
87,Jun 2020,46.82,43.74,43.75,39.66
88,Jul 2020,50.83,49.78,47.75,48.74
89,Aug 2020,86.42,85.31,84.35,85.33
90,Sep 2020,48.48,43.41,44.42,41.38
91,Oct 2020,47.44,44.93,44.71,43.92
