,Unnamed: 0,Unnamed: 1
0,Power Forwards & Futures (Data),
1,Source: OTC Global Holdings,
2,Region: Alberta,
3,Forward Term: Monthly,
4,Peak: On Peak,
5,As Of: 11/05/2013,
6,As Of : 11/5/2013,
7,Term,Alberta
8,Nov 2013,64.25
9,Dec 2013,80.06
10,Jan 2014,89.15
11,Feb 2014,82.33
12,Mar 2014,74.62
13,Apr 2014,72.6
14,May 2014,66.28
15,Jun 2014,64.42
16,Jul 2014,85.05
17,Aug 2014,85.77
18,Sep 2014,84.23
19,Oct 2014,67.53
20,Nov 2014,68.54
21,Dec 2014,77.48
22,Jan 2015,78.43
23,Feb 2015,66.41
24,Mar 2015,56.7
25,Apr 2015,51.94
26,May 2015,56.51
27,Jun 2015,64.63
28,Jul 2015,76.87
29,Aug 2015,69.12
30,Sep 2015,59.89
31,Oct 2015,61.75
32,Nov 2015,62.61
33,Dec 2015,70.83
34,Jan 2016,89.96
35,Feb 2016,75.9
36,Mar 2016,64.5
37,Apr 2016,51.11
38,May 2016,55.59
39,Jun 2016,63.57
40,Jul 2016,81.21
41,Aug 2016,73.05
42,Sep 2016,63.33
43,Oct 2016,55.47
44,Nov 2016,56.33
45,Dec 2016,64.07
46,Jan 2017,92.36
47,Feb 2017,77.86
48,Mar 2017,66.11
49,Apr 2017,52.2
50,May 2017,56.77
51,Jun 2017,64.9
52,Jul 2017,82.94
53,Aug 2017,74.64
54,Sep 2017,64.71
55,Oct 2017,56.7
56,Nov 2017,57.69
57,Dec 2017,65.62
58,Jan 2018,99.89
59,Feb 2018,84.22
60,Mar 2018,71.51
61,Apr 2018,56.2
62,May 2018,61.13
63,Jun 2018,69.88
64,Jul 2018,89.29
65,Aug 2018,80.4
66,Sep 2018,69.7
67,Oct 2018,61.13
68,Nov 2018,62.44
69,Dec 2018,71.15
70,Jan 2019,100.31
71,Feb 2019,84.59
72,Mar 2019,71.87
73,Apr 2019,56.68
74,May 2019,61.75
75,Jun 2019,70.67
76,Jul 2019,90.37
77,Aug 2019,81.44
78,Sep 2019,70.64
79,Oct 2019,61.96
80,Nov 2019,63.28
81,Dec 2019,72.15
82,Jan 2020,99.65
83,Feb 2020,84.05
84,Mar 2020,71.46
85,Apr 2020,56.52
86,May 2020,61.56
87,Jun 2020,70.44
88,Jul 2020,90.12
89,Aug 2020,81.25
90,Sep 2020,70.52
91,Oct 2020,61.88
