,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: On Peak,,,,
5,As Of: 06/16/2014,,,,
6,As Of : 6/16/2014,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Jun 2014,46.17,44.73,44.57,47.28
9,Jul 2014,67.9,68.2,67.09,69.84
10,Aug 2014,84.65,85.06,83.95,87.17
11,Sep 2014,54.4,51.84,52.1,52.91
12,Oct 2014,46.97,44.73,44.77,43.98
13,Nov 2014,43.86,42.38,42.53,41.4
14,Dec 2014,43.01,42.75,42.68,41.76
15,Jan 2015,47.73,48.49,47.67,47.28
16,Feb 2015,47.44,48.2,47.38,47.01
17,Mar 2015,49.4,46.51,47.07,42.76
18,Apr 2015,47.57,44.73,45.2,43.28
19,May 2015,45.07,41.44,42.12,40.28
20,Jun 2015,56.65,54.47,54.53,54.33
21,Jul 2015,74.65,74.89,74.54,75.58
22,Aug 2015,97.23,97.42,97.07,98.3
23,Sep 2015,49.69,47.69,47.95,47.99
24,Oct 2015,41.89,40.44,39.89,38.04
25,Nov 2015,40.64,39.16,38.6,36.74
26,Dec 2015,40.96,39.62,39.05,37.12
27,Jan 2016,44.44,45.14,44.38,44.02
28,Feb 2016,44.32,45.03,44.27,43.92
29,Mar 2016,46.55,43.83,44.35,40.3
30,Apr 2016,46.88,44.08,44.55,42.65
31,May 2016,44.98,41.37,42.03,40.21
32,Jun 2016,56.71,54.54,54.6,54.4
33,Jul 2016,74.75,74.99,74.64,75.69
34,Aug 2016,97.69,97.88,97.53,98.77
35,Sep 2016,50.06,48.04,48.3,48.34
36,Oct 2016,42.27,40.81,40.25,38.38
37,Nov 2016,41.37,39.86,39.29,37.39
38,Dec 2016,41.97,40.6,40.02,38.04
39,Jan 2017,45.84,46.56,45.78,45.41
40,Feb 2017,45.74,46.47,45.68,45.33
41,Mar 2017,48.07,45.26,45.8,41.61
42,Apr 2017,48.52,45.62,46.1,44.14
43,May 2017,46.56,42.82,43.51,41.62
44,Jun 2017,58.69,56.44,56.5,56.29
45,Jul 2017,77.48,77.73,77.36,78.44
46,Aug 2017,101.38,101.58,101.22,102.5
47,Sep 2017,51.97,49.88,50.15,50.19
48,Oct 2017,43.87,42.35,41.78,39.84
49,Nov 2017,42.96,41.4,40.8,38.84
50,Dec 2017,43.61,42.18,41.57,39.52
51,Jan 2018,47.46,48.21,47.4,47.01
52,Feb 2018,47.36,48.12,47.3,46.93
53,Mar 2018,49.79,46.88,47.44,43.11
54,Apr 2018,50.3,47.3,47.79,45.76
55,May 2018,48.27,44.39,45.11,43.15
56,Jun 2018,60.73,58.4,58.46,58.25
57,Jul 2018,80.03,80.28,79.91,81.02
58,Aug 2018,104.78,104.98,104.6,105.93
59,Sep 2018,53.85,51.68,51.96,52
60,Oct 2018,45.47,43.9,43.3,41.29
61,Nov 2018,44.62,42.99,42.37,40.33
62,Dec 2018,45.23,43.75,43.12,40.99
63,Jan 2019,49.01,49.79,48.95,48.55
64,Feb 2019,48.91,49.69,48.85,48.47
65,Mar 2019,51.42,48.42,49,44.52
66,Apr 2019,51.96,48.85,49.37,47.27
67,May 2019,49.87,45.86,46.6,44.58
68,Jun 2019,62.72,60.32,60.39,60.17
69,Jul 2019,82.65,82.91,82.52,83.68
70,Aug 2019,108.33,108.54,108.15,109.52
71,Sep 2019,55.68,53.44,53.73,53.78
72,Oct 2019,47.08,45.45,44.83,42.75
73,Nov 2019,46.22,44.54,43.9,41.78
74,Dec 2019,46.93,45.39,44.74,42.53
75,Jan 2020,50.69,51.49,50.63,50.22
76,Feb 2020,50.59,51.4,50.53,50.14
77,Mar 2020,53.2,50.09,50.69,46.06
78,Apr 2020,53.84,50.62,51.16,48.98
79,May 2020,51.8,47.64,48.41,46.3
80,Jun 2020,65.25,62.75,62.82,62.59
81,Jul 2020,86.2,86.47,86.07,87.27
82,Aug 2020,113.17,113.39,112.98,114.42
83,Sep 2020,58.18,55.83,56.14,56.19
84,Oct 2020,49.2,47.49,46.85,44.67
85,Nov 2020,48.15,46.4,45.73,43.53
86,Dec 2020,48.78,47.18,46.5,44.2
87,Jan 2021,52.48,53.31,52.41,51.98
88,Feb 2021,52.36,53.2,52.3,51.89
89,Mar 2021,55.08,51.86,52.48,47.68
90,Apr 2021,55.84,52.51,53.06,50.81
91,May 2021,53.75,49.43,50.23,48.05
