,Unnamed: 0,Unnamed: 1
0,Power Forwards & Futures (Data),
1,Source: OTC Global Holdings,
2,Region: Alberta,
3,Forward Term: Monthly,
4,Peak: On Peak,
5,As Of: 09/06/2013,
6,As Of : 9/6/2013,
7,Term,Alberta
8,Sep 2013,105.97
9,Oct 2013,79.45
10,Nov 2013,81.08
11,Dec 2013,79.92
12,Jan 2014,90.67
13,Feb 2014,79.78
14,Mar 2014,66.67
15,Apr 2014,56.02
16,May 2014,61.03
17,Jun 2014,69.89
18,Jul 2014,88.86
19,Aug 2014,80.02
20,Sep 2014,69.39
21,Oct 2014,61.86
22,Nov 2014,62.92
23,Dec 2014,71.29
24,Jan 2015,72.56
25,Feb 2015,61.1
26,Mar 2015,52.04
27,Apr 2015,46.8
28,May 2015,50.92
29,Jun 2015,58.22
30,Jul 2015,77.55
31,Aug 2015,69.78
32,Sep 2015,60.5
33,Oct 2015,63.17
34,Nov 2015,64.12
35,Dec 2015,72.79
36,Jan 2016,88.84
37,Feb 2016,74.88
38,Mar 2016,63.59
39,Apr 2016,50.11
40,May 2016,54.54
41,Jun 2016,62.36
42,Jul 2016,79.73
43,Aug 2016,71.81
44,Sep 2016,62.26
45,Oct 2016,54.53
46,Nov 2016,55.36
47,Dec 2016,62.77
48,Jan 2017,93.26
49,Feb 2017,78.62
50,Mar 2017,66.75
51,Apr 2017,52.62
52,May 2017,57.24
53,Jun 2017,65.45
54,Jul 2017,83.66
55,Aug 2017,75.29
56,Sep 2017,65.27
57,Oct 2017,57.23
58,Nov 2017,58.23
59,Dec 2017,66.1
60,Jan 2018,98.9
61,Feb 2018,83.38
62,Mar 2018,70.81
63,Apr 2018,55.53
64,May 2018,60.43
65,Jun 2018,69.08
66,Jul 2018,88.3
67,Aug 2018,79.53
68,Sep 2018,68.97
69,Oct 2018,60.49
70,Nov 2018,61.85
71,Dec 2018,70.49
72,Jan 2019,99.62
73,Feb 2019,84.01
74,Mar 2019,71.39
75,Apr 2019,56.33
76,May 2019,61.35
77,Jun 2019,70.19
78,Jul 2019,89.78
79,Aug 2019,80.93
80,Sep 2019,70.23
81,Oct 2019,61.61
82,Nov 2019,63.03
83,Dec 2019,71.82
84,Jan 2020,96.31
85,Feb 2020,81.23
86,Mar 2020,69.08
87,Apr 2020,54.9
88,May 2020,59.79
89,Jun 2020,68.41
90,Jul 2020,87.5
91,Aug 2020,78.88
