,Unnamed: 0,Unnamed: 1
0,Power Forwards & Futures (Data),
1,Source: OTC Global Holdings,
2,Region: Alberta,
3,Forward Term: Monthly,
4,Peak: On Peak,
5,As Of: 10/03/2013,
6,As Of : 10/3/2013,
7,Term,Alberta
8,Oct 2013,83.51
9,Nov 2013,83.29
10,Dec 2013,84.67
11,Jan 2014,94.51
12,Feb 2014,81.27
13,Mar 2014,69.27
14,Apr 2014,57.12
15,May 2014,62.3
16,Jun 2014,71.39
17,Jul 2014,94.96
18,Aug 2014,85.47
19,Sep 2014,74.02
20,Oct 2014,65.95
21,Nov 2014,66.96
22,Dec 2014,75.97
23,Jan 2015,80
24,Feb 2015,67.46
25,Mar 2015,57.36
26,Apr 2015,49.63
27,May 2015,53.95
28,Jun 2015,61.73
29,Jul 2015,76.43
30,Aug 2015,68.75
31,Sep 2015,59.59
32,Oct 2015,60.73
33,Nov 2015,61.67
34,Dec 2015,69.95
35,Jan 2016,90.53
36,Feb 2016,76.3
37,Mar 2016,64.75
38,Apr 2016,51.03
39,May 2016,55.47
40,Jun 2016,63.43
41,Jul 2016,81.07
42,Aug 2016,72.95
43,Sep 2016,63.24
44,Oct 2016,55.36
45,Nov 2016,56.28
46,Dec 2016,64.08
47,Jan 2017,92.79
48,Feb 2017,78.22
49,Mar 2017,66.41
50,Apr 2017,52.44
51,May 2017,57.05
52,Jun 2017,65.22
53,Jul 2017,83.35
54,Aug 2017,75.01
55,Sep 2017,65.03
56,Oct 2017,56.97
57,Nov 2017,57.98
58,Dec 2017,65.85
59,Jan 2018,100.22
60,Feb 2018,84.49
61,Mar 2018,71.76
62,Apr 2018,56.63
63,May 2018,61.62
64,Jun 2018,70.45
65,Jul 2018,90.01
66,Aug 2018,81.05
67,Sep 2018,70.27
68,Oct 2018,61.61
69,Nov 2018,63.02
70,Dec 2018,71.84
71,Jan 2019,101.07
72,Feb 2019,85.23
73,Mar 2019,72.44
74,Apr 2019,57.39
75,May 2019,62.51
76,Jun 2019,71.52
77,Jul 2019,91.48
78,Aug 2019,82.46
79,Sep 2019,71.56
80,Oct 2019,62.78
81,Nov 2019,64.16
82,Dec 2019,73.11
83,Jan 2020,98.77
84,Feb 2020,83.29
85,Mar 2020,70.83
86,Apr 2020,56.34
87,May 2020,61.36
88,Jun 2020,70.21
89,Jul 2020,89.8
90,Aug 2020,80.96
91,Sep 2020,70.27
