,Unnamed: 0,Unnamed: 1
0,Power Forwards & Futures (Data),
1,Source: OTC Global Holdings,
2,Region: Alberta,
3,Forward Term: Monthly,
4,Peak: On Peak,
5,As Of: 05/20/2013,
6,As Of : 5/20/2013,
7,Term,Alberta
8,May 2013,89.3
9,Jun 2013,109.99
10,Jul 2013,121.9
11,Aug 2013,116.32
12,Sep 2013,114.07
13,Oct 2013,83.07
14,Nov 2013,86
15,Dec 2013,84.16
16,Jan 2014,87.19
17,Feb 2014,83.85
18,Mar 2014,80.44
19,Apr 2014,55.79
20,May 2014,60.37
21,Jun 2014,69.17
22,Jul 2014,93.9
23,Aug 2014,84.91
24,Sep 2014,73.84
25,Oct 2014,61.58
26,Nov 2014,62.53
27,Dec 2014,70.71
28,Jan 2015,76.73
29,Feb 2015,62.73
30,Mar 2015,56.92
31,Apr 2015,49.33
32,May 2015,53.62
33,Jun 2015,61.28
34,Jul 2015,80.9
35,Aug 2015,72.81
36,Sep 2015,63.48
37,Oct 2015,66.97
38,Nov 2015,68.31
39,Dec 2015,77.39
40,Jan 2016,83.68
41,Feb 2016,68.49
42,Mar 2016,62.12
43,Apr 2016,56.98
44,May 2016,62.09
45,Jun 2016,71.01
46,Jul 2016,87.27
47,Aug 2016,78.5
48,Sep 2016,68.46
49,Oct 2016,67.93
50,Nov 2016,69.37
51,Dec 2016,78.64
52,Jan 2017,88.36
53,Feb 2017,72.31
54,Mar 2017,65.64
55,Apr 2017,60.39
56,May 2017,65.8
57,Jun 2017,75.24
58,Jul 2017,92.43
59,Aug 2017,83.19
60,Sep 2017,72.54
61,Oct 2017,71.96
62,Nov 2017,73.7
63,Dec 2017,83.58
64,Jan 2018,89.97
65,Feb 2018,73.64
66,Mar 2018,66.87
67,Apr 2018,61.89
68,May 2018,67.43
69,Jun 2018,77.06
70,Jul 2018,94.63
71,Aug 2018,85.13
72,Sep 2018,74.23
73,Oct 2018,73.64
74,Nov 2018,75.42
75,Dec 2018,85.59
76,Jan 2019,90.84
77,Feb 2019,74.37
78,Mar 2019,67.58
79,Apr 2019,62.83
80,May 2019,68.54
81,Jun 2019,78.39
82,Jul 2019,96.25
83,Aug 2019,86.62
84,Sep 2019,75.54
85,Oct 2019,74.95
86,Nov 2019,76.67
87,Dec 2019,86.81
88,Jan 2020,97.7
89,Feb 2020,79.98
90,Mar 2020,72.73
91,Apr 2020,67.89
