,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: Off Peak,,,,
5,As Of: 01/30/2013,,,,
6,As Of : 1/30/2013,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Jan 2013,21.45,20.4,22.12,16.67
9,Feb 2013,20.06,18.34,14.25,13.96
10,Mar 2013,25.9,23.46,18.77,14.4
11,Apr 2013,25.64,21.88,18.29,13.99
12,May 2013,28.59,25.77,23.34,19.07
13,Jun 2013,39.58,36.02,34.15,27.1
14,Jul 2013,30.07,27.47,25.65,24.92
15,Aug 2013,37.11,34.85,33.06,30.95
16,Sep 2013,27.55,26.01,25.31,25.07
17,Oct 2013,22.51,20.22,20.49,16.83
18,Nov 2013,25.98,28.34,30.09,17.66
19,Dec 2013,29.76,33.16,34.52,26.96
20,Jan 2014,35.63,33.51,36.88,27.49
21,Feb 2014,33.23,29.66,22.89,22.41
22,Mar 2014,36.29,33.67,26.61,20.17
23,Apr 2014,32.4,28.64,23.75,18.07
24,May 2014,35.5,31.44,28.43,23.69
25,Jun 2014,45.9,40.93,39.07,31.61
26,Jul 2014,39.63,35.24,33.06,32.33
27,Aug 2014,47.63,43.13,40.92,38.58
28,Sep 2014,40.27,36.27,35.3,34.06
29,Oct 2014,29.26,25.89,26.11,21.42
30,Nov 2014,19.82,20.87,22.02,12.8
31,Dec 2014,26.05,25.16,26.02,20.16
32,Jan 2015,33.9,31.83,35.03,26.1
33,Feb 2015,31.62,28.33,21.83,21.36
34,Mar 2015,34.97,32.33,25.66,19.35
35,Apr 2015,31.09,27.43,22.74,17.33
36,May 2015,33.7,29.77,27.09,22.41
37,Jun 2015,45.34,40.42,38.66,31.14
38,Jul 2015,39.86,35.29,33.18,32.72
39,Aug 2015,48.79,44.11,41.86,39.86
40,Sep 2015,41.58,37,36.09,34.8
41,Oct 2015,37.87,33.35,33.82,27.78
42,Nov 2015,27.4,28.87,30.67,17.75
43,Dec 2015,32.82,30.73,31.52,26.09
44,Jan 2016,37.27,33.57,30.55,26.23
45,Feb 2016,31.99,28.08,21.59,21.19
46,Mar 2016,35.18,32.07,25.49,19.23
47,Apr 2016,31.18,27.06,22.54,17.11
48,May 2016,33.92,29.31,26.76,22.09
49,Jun 2016,45.56,39.77,38.03,30.63
50,Jul 2016,40,34.76,32.66,32.18
51,Aug 2016,48.96,43.39,41.18,39.27
52,Sep 2016,41.6,36.41,35.34,34.27
53,Oct 2016,37.81,32.6,33.06,27.18
54,Nov 2016,27.4,28.35,29.98,17.44
55,Dec 2016,33.59,31.3,32.1,28.73
56,Jan 2017,34.62,35.45,28.28,26.65
57,Feb 2017,32.78,28.87,22.17,21.82
58,Mar 2017,36.28,32.83,26.31,19.66
59,Apr 2017,32.11,27.8,23.09,17.56
60,May 2017,34.78,30.3,27.56,22.79
61,Jun 2017,46.82,40.87,39.22,31.48
62,Jul 2017,41.14,35.74,33.52,33.14
63,Aug 2017,50.27,44.62,42.35,40.5
64,Sep 2017,42.82,37.43,36.3,35.2
65,Oct 2017,38.8,33.61,34.05,28
66,Nov 2017,28.27,29.31,30.91,18.03
67,Dec 2017,34.74,32.47,33.13,29.75
68,Jan 2018,40.2,36.17,36.45,27.65
69,Feb 2018,34.09,29.93,23.07,22.63
70,Mar 2018,37.6,34.08,27.22,20.48
71,Apr 2018,33.32,28.92,24.05,18.32
72,May 2018,36.24,31.45,28.56,23.7
73,Jun 2018,48.67,42.51,40.73,32.83
74,Jul 2018,42.72,37.19,34.87,34.47
75,Aug 2018,52.34,46.47,43.99,42.01
76,Sep 2018,44.57,38.98,37.91,36.64
77,Oct 2018,40.56,34.86,35.4,29.09
78,Nov 2018,29.46,30.47,32.28,18.73
79,Dec 2018,36.85,34.53,35.16,30.9
80,Jan 2019,42.42,37.61,37.23,28.66
81,Feb 2019,36.42,32.35,24.71,23.44
82,Mar 2019,40.24,36.88,29.26,20.75
83,Apr 2019,36.09,31.43,26.08,18.89
84,May 2019,38.92,34.04,30.91,25
85,Jun 2019,53.97,47.53,45.27,34.79
86,Jul 2019,53.11,47.07,43.51,48.13
87,Aug 2019,64.46,51.33,50.97,50.52
88,Sep 2019,48.51,38.26,38.36,36.22
89,Oct 2019,40.18,40.6,41.57,37.08
90,Nov 2019,31.07,31.87,31.94,22.74
91,Dec 2019,31.62,32.06,32.1,29.46
