,Unnamed: 0,Unnamed: 1
0,Power Forwards & Futures (Data),
1,Source: OTC Global Holdings,
2,Region: Alberta,
3,Forward Term: Monthly,
4,Peak: On Peak,
5,As Of: 07/10/2013,
6,As Of : 7/10/2013,
7,Term,Alberta
8,Jul 2013,113.86
9,Aug 2013,123.06
10,Sep 2013,110.25
11,Oct 2013,82.64
12,Nov 2013,77.08
13,Dec 2013,75.43
14,Jan 2014,82.2
15,Feb 2014,74.83
16,Mar 2014,67.45
17,Apr 2014,53.64
18,May 2014,58.39
19,Jun 2014,66.91
20,Jul 2014,88.57
21,Aug 2014,79.76
22,Sep 2014,68.6
23,Oct 2014,58.05
24,Nov 2014,59.14
25,Dec 2014,67.15
26,Jan 2015,72.33
27,Feb 2015,59.22
28,Mar 2015,53.76
29,Apr 2015,46.58
30,May 2015,50.64
31,Jun 2015,57.96
32,Jul 2015,76.96
33,Aug 2015,69.31
34,Sep 2015,59.56
35,Oct 2015,62.88
36,Nov 2015,63.89
37,Dec 2015,72.56
38,Jan 2016,76.01
39,Feb 2016,62.25
40,Mar 2016,56.45
41,Apr 2016,52.49
42,May 2016,57.09
43,Jun 2016,65.32
44,Jul 2016,80.92
45,Aug 2016,72.91
46,Sep 2016,62.71
47,Oct 2016,61.99
48,Nov 2016,63.18
49,Dec 2016,71.92
50,Jan 2017,79.73
51,Feb 2017,65.34
52,Mar 2017,59.29
53,Apr 2017,55.25
54,May 2017,60.09
55,Jun 2017,68.74
56,Jul 2017,85.14
57,Aug 2017,76.72
58,Sep 2017,66.04
59,Oct 2017,65.34
60,Nov 2017,67.08
61,Dec 2017,76.78
62,Jan 2018,83.61
63,Feb 2018,68.55
64,Mar 2018,62.27
65,Apr 2018,58.41
66,May 2018,63.51
67,Jun 2018,72.62
68,Jul 2018,89.93
69,Aug 2018,81.04
70,Sep 2018,69.77
71,Oct 2018,69.07
72,Nov 2018,70.88
73,Dec 2018,81.06
74,Jan 2019,84.1
75,Feb 2019,69.02
76,Mar 2019,62.79
77,Apr 2019,59.23
78,May 2019,64.51
79,Jun 2019,73.84
80,Jul 2019,91.47
81,Aug 2019,82.49
82,Sep 2019,71
83,Oct 2019,70.23
84,Nov 2019,71.93
85,Dec 2019,82.01
86,Jan 2020,90.87
87,Feb 2020,74.58
88,Mar 2020,67.91
89,Apr 2020,64.5
90,May 2020,70.23
91,Jun 2020,80.34
