,index,LocationName,Occupancy Code,Occupancy Class,name,types,Street,Area,City,Seems Right,Correction,Unnamed: 11,LocationID
30,110.0,Promenade at Aventura,306.0,Apartments/Condominiums,Promenade at Aventura Apartments,"['real_estate_agency', 'point_of_interest', 'establishment']",19680 e country club dr,FL,AVENTURA,True,,,EQR Portfolio c o Starwo-4462-1954727
31,288.0,Oilfield Services,321.0,General Industrial,Revolution Oilfield Services Inc.,"['point_of_interest', 'establishment']",9110 grogans mill rd,TX,THE WOODLANDS,True,,,General Electric Company-4416-1715120
32,320.0,Science Center,345.0,"Universities, Colleges, and Technical Schools",Joseph R. Fink Science Center,"['university', 'point_of_interest', 'establishment']",155 palm ave,CA,SAN RAFAEL,True,,,Educational Institutiona-4445-1819685
33,120.0,Alborada,306.0,Apartments/Condominiums,Alborada Apartments,"['point_of_interest', 'establishment']",1001 beethoven cmn,CA,FREMONT,True,,,Equity Residential 2019-4463-1954758
34,223.0,Comcast Cable Communications,315.0,"Professional, Technical, and Business Services",One Installation Inc,"['point_of_interest', 'establishment']",6565 nova drive,FL,DAVIE,True,also is 365,,Comcast Corporation 2019-4514-2127310
35,303.0,Ogden Salt,330.0,Mining,Compass Minerals,"['point_of_interest', 'establishment']",765 n 10500 w,UT,OGDEN,True,,,Compass Minerals 2018-4413-1710964
36,167.0,The Home Depot Inc,312.0,Retail Trade,The Home Depot,"['hardware_store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",1550 palm bch lakes boulevard,FL,WEST PALM BEACH,True,,,Home Depot Inc 2019-4429-1787226
37,167.0,The Home Depot Inc,312.0,Retail Trade,The Home Depot,"['hardware_store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",1550 palm bch lakes boulevard,FL,WEST PALM BEACH,True,,,Home Depot Inc 2019-4429-1786829
38,277.0,Horseshoe Casino Tunica,317.0,Entertainment and Recreation,Horseshoe Tunica,"['lodging', 'point_of_interest', 'establishment']",1021 casino center dr,MS,ROBINSONVILLE,True,also is 304,,Caesars Entertainment Co-4417-1715725
39,181.0,Hawaii-Kona,312.0,Retail Trade,Kailua-Kona,"['locality', 'political']",74 5455 makala blvd,HI,KAILUA KONA,True,also is 316,cvs pharmacy,Target Corporation 2019-4488-2090926
40,30.0,Four Seasons Orlando incl. Golf Course,304.0,Temporary Lodging,Four Seasons Golf and Sports Club Orlando,"['point_of_interest', 'establishment']",10100 dream tree blvd,FL,GOLDEN OAK,True,,,Four Seasons Hotels Limi-4498-2096040
42,6.0,Islamorada Village of Islands,300.0,Unknown,Islamorada,"['locality', 'political']",81850 overseas hwy,FL,ISLAMORADA,True,,,Florida Municipal Insura-4467-1988081
43,6.0,Islamorada Village of Islands,300.0,Unknown,Islamorada,"['locality', 'political']",81850 overseas hwy,FL,ISLAMORADA,True,,,Florida Municipal Insura-4467-1986288
44,6.0,Islamorada Village of Islands,300.0,Unknown,Islamorada,"['locality', 'political']",81850 overseas hwy,FL,ISLAMORADA,True,,,Florida Municipal Insura-4467-1986289
45,6.0,Islamorada Village of Islands,300.0,Unknown,Islamorada,"['locality', 'political']",81850 overseas hwy,FL,ISLAMORADA,True,,,Florida Municipal Insura-4467-1986321
46,103.0,33 West,306.0,Apartments/Condominiums,33 West Apartments,"['point_of_interest', 'establishment']",6300 sw 24th place,FL,DAVIE,True,,,Clarion Partners America-4532-2145070
47,115.0,Park Place at San Mateo,306.0,Apartments/Condominiums,Park Place at San Mateo Apartments,"['point_of_interest', 'establishment']",1101 park pl,CA,SAN MATEO,True,,,Equity Residential 2019-4463-1954967
48,331.0,Orlando International Airport,353.0,Air,Orlando International Airport,"['airport', 'point_of_interest', 'establishment']",9459 airport blvd,FL,ORLANDO,True,,,United Airlines Inc 2019-4505-2115448
50,147.0,AMLI Flagler Village - Apartments,306.0,Apartments/Condominiums,AMLI Flagler Village,"['point_of_interest', 'establishment']",440 ne 4th avenue,FL,FORT LAUDERDALE,True,,,Morgan Stanley Real Esta-4468-1991657
51,20.0,Sandestin,304.0,Temporary Lodging,Sandestin,"['neighborhood', 'political']",8626 baytowne avenue,FL,WEST DESTIN,True,,,Diamond Resorts Internat-4457-1913077
52,100.0,Avalon Walnut Creek II,306.0,Apartments/Condominiums,Avalon Walnut Creek,"['real_estate_agency', 'point_of_interest', 'establishment']",1000 harvey drive,CA,WALNUT CREEK,True,,,AvalonBay Communities In-4490-2092550
53,329.0,Tampa International Airport,353.0,Air,Tampa International Airport,"['airport', 'point_of_interest', 'establishment']",4100 george j bean parkway,FL,TAMPA,True,,,Delta Air Lines Inc 2018-4397-1686511
54,329.0,Tampa International Airport,353.0,Air,Tampa International Airport,"['airport', 'point_of_interest', 'establishment']",4100 george j bean parkway,FL,TAMPA,True,,,United Airlines Inc 2019-4505-2116311
58,125.0,Acacia on Santa Rosa Creek,306.0,Apartments/Condominiums,Acacia on Santa Rosa Creek Apartments,"['point_of_interest', 'establishment']",4631 quigg dr,CA,SANTA ROSA,True,,,Greystar Real Estate 201-4435-1792763
59,328.0,Memphis International Airport,353.0,Air,Memphis International Airport,"['airport', 'point_of_interest', 'establishment']",2491 winchester rd,TN,MEMPHIS,True,,,Delta Air Lines Inc 2018-4397-1686711
61,285.0,Boomtown New Orleans West Bank Shore,317.0,Entertainment and Recreation,Boomtown Casino & Hotel New Orleans,"['casino', 'point_of_interest', 'establishment']",4132 peters rd 40,LA,HARVEY,True,,,Penn National Gaming 201-4422-1782785
62,204.0,1455 Market Street,315.0,"Professional, Technical, and Business Services",1455 Market St,['premise'],1455 market st,CA,SAN FRANCISCO,True,,,Bank of America Corporat-4386-1671765
64,189.0,GM SPO RANCHO CUCAMONGA,313.0,Wholesale Trade,General Motors Co,"['point_of_interest', 'establishment']",9150 hermosa ave,CA,RANCHO CUCAMONGA,True,,,General Motors Corporati-4431-1789195
65,330.0,Southwest Florida International Airport,353.0,Air,Southwest Florida International Airport,"['airport', 'point_of_interest', 'establishment']",16000 chamberlin pkwy,FL,FORT METERS,True,,,United Airlines Inc 2019-4505-2115297
66,340.0,4101 Carolina Commerce PkwyLadsonSC29456,365.0,Telephone and Telegraph,4101 Carolina Commerce Pkwy,['street_address'],4101 carolina commerce pkwy,SC,LADSON,True,,Verizon Wireless,Verizon Communication In-4419-1721029
67,250.0,NORTHERN LIGHTS   C STREET,315.0,"Professional, Technical, and Business Services",W Northern Lights Blvd & C St,['intersection'],301 w northern lights blvd,AK,ANCHORAGE,True,,Wells Fargo Bank,Wells Fargo Company 2019-4393-1678169
68,291.0,INTALCO ALUMINUM CORP. (SMELTER),322.0,Heavy Fabrication and Assembly,Alcoa Intalco Works,"['point_of_interest', 'establishment']",4050 mountain view rd,WA,FERNDALE,True,,,Alcoa Corporation 2018-4403-1697612
69,94.0,Heritage Park Livermore Senior Community,306.0,Apartments/Condominiums,Heritage Park Livermore for Seniors,"['point_of_interest', 'establishment']",1089 bluebell dr,CA,LIVERMORE,True,,,AIMCO 2019-4436-1793111
70,310.0,RESURRECTION CHURCH,341.0,Religion and Non-Profit,Resurrection Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",259 miramar beach drive,FL,DESTIN,True,,,Ecclesiastical Province -4476-2009069
71,310.0,RESURRECTION CHURCH,341.0,Religion and Non-Profit,Resurrection Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",259 miramar beach drive,FL,DESTIN,True,,,Ecclesiastical Province -4476-2009071
72,232.0,PRII SR 200 East Las Olas Owner  LLC,315.0,"Professional, Technical, and Business Services",200 E Las Olas Blvd,['premise'],200 e las olas blvd,FL,FORT LAUDERDALE,False,318,Parking Lot,PGIM Inc 2018-4420-1781883
73,77.0,Dorchester Brosnan Forest Retreat Two,305.0,Group Institutional Housing,Brosnan Forest Rd,['route'],125 brosnan forest road,SC,DORCHESTER,False,304,,Norfolk Southern Corpora-4504-2114879
74,354.0,Commercial Metals Company,401.0,Heavy Fabrication and Assembly - General,CMC Rebar,"['point_of_interest', 'establishment']",2306 b street nw,WA,AUBURN,True,,,Commercial Metals Compan-4517-2131191
75,35.0,Burlingame Hyatt Regency,304.0,Temporary Lodging,Hyatt Regency San Francisco Airport,"['lodging', 'point_of_interest', 'establishment']",1333 old bayshore hwy,CA,BURLINGAME,True,,,Host Hotels Resorts 2019-4503-2114300
76,249.0,SOUTH COUNTY ROAD,315.0,"Professional, Technical, and Business Services",S County Rd,['route'],255 s county rd,FL,PALM BEACH,True,,office building,Wells Fargo Company 2019-4393-1679796
77,9.0,Waterbrook Apartments,303.0,Permanent Dwelling: Multi-Family,Avana Rancho Cucamonga Apartments,"['point_of_interest', 'establishment']",10400 arrow rte,CA,RANCHO CUCAMONGA,True,also 306,,Greystar Real Estate 201-4435-1792652
78,644.0,Mobile Mechanical Dept. Crew,352.0,Railroad,72 Beauregard St,['street_address'],72 beauregard s,AL,MOBILE,True,,,Norfolk Southern Corpora-4504-2114495
79,267.0,397,312.0,Retail Trade,Winn-Dixie,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",6600 hypoluxo road,FL,LAKE WORTH,True,,,Southeastern Grocers LLC-4475-2005274
80,632.0,SP,351.0,Highway,UPS Customer Center,"['point_of_interest', 'establishment']",1601 atlas road,CA,RICHMOND,True,,,United Parcel Service In-4483-2080540
81,671.0,FL-22237,365.0,Telephone and Telegraph,821 1st Ave N,['premise'],821 first ave n,FL,SAINT PETERSBURG,True,,,Frontier Communications -4478-2010810
82,300.0,Countryside Centre,312.0,Retail Trade,Chipotle Mexican Grill,"['restaurant', 'food', 'point_of_interest', 'establishment']",2537 countryside boulevard,FL,CLEARWATER,True,,,Weingarten Realty Invest-4480-2079837
83,76.0,Marriott Hollywood Beach,304.0,Temporary Lodging,Hollywood Beach Marriott,"['lodging', 'point_of_interest', 'establishment']",2501 north ocean drive,FL,HOLLYWOOD BEACH,True,,,Ocean Properties Ltd 201-4454-1911024
84,177.0,Ocean Watch Villas,306.0,Apartments/Condominiums,Marriott's OceanWatch Villas at Grande Dunes,"['lodging', 'point_of_interest', 'establishment']",8500 costa verda dr,SC,MYRTLE BEACH,True,,,Marriott Vacations World-4501-2097044
85,628.0,SP,351.0,Highway,13350 NW 17th St,['premise'],13350 nw 17th st,FL,MIAMI,False,315,UPS,United Parcel Service In-4483-2080739
86,665.0,1662,365.0,Telephone and Telegraph,1922 Canal St,['street_address'],1922 canal street,LA,NEW ORLEANS,False,316,hospital,Cox Enterprises Inc 2019-4528-2134834
87,115.0,Fountain View,305.0,Group Institutional Housing,Fountainview,"['health', 'point_of_interest', 'establishment']",111 executive center drive,FL,WEST PALM BEACH,True,,,Senior Housing Propertie-4526-2133579
89,280.0,Promenade Shopping Plaza,312.0,Retail Trade,Publix Super Market at Promenade Shopping Plaza,"['grocery_or_supermarket', 'bakery', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",9900 alt a1a,FL,PALM BEACH GARDENS,True,,,Teachers Insurance and A-4448-1824450
90,262.0,WESTWINDS OF BOCA,312.0,Retail Trade,Westwinds of Boca,"['shopping_mall', 'point_of_interest', 'establishment']",9834 glades road,FL,BOCA RATON,True,,,Rreef Management Company-4408-1698287
91,417.0,Las Olas Centre,315.0,"Professional, Technical, and Business Services",Las Olas Centre I,"['airport', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",350 las olas boulevard,FL,FT. LAUDERDALE,True,,,Rreef Management Company-4408-1698141
92,391.0,Comcast Cable Communications,315.0,"Professional, Technical, and Business Services",Comcast Service Center,"['point_of_interest', 'establishment']",18601 nw 2nd avenue,FL,MIAMI,True,,,Comcast Corporation 2019-4514-2127306
93,168.0,Plantation Beach Club at Indian River,306.0,Apartments/Condominiums,Plantation Beach Club,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",329 tradewinds lane,FL,STUART,True,,,Hilton Grand Vacations 2-4497-2095900
94,442.0,MAINLAND MEDICAL CENTER,316.0,Health Care Services,HCA Houston Healthcare Mainland,"['hospital', 'health', 'point_of_interest', 'establishment']",6801 emmett f lowry expy,TX,TEXAS CITY,True,,,HCA Healthcare Inc 2019-4465-1959491
95,3.0,CBS TV City,300.0,Unknown,Television City,"['point_of_interest', 'establishment']",7800 beverly blvd,CA,LOS ANGELES,True,,,CBS Corporation 2018-4399-1697273
96,3.0,CBS TV City,300.0,Unknown,Television City,"['point_of_interest', 'establishment']",7800 beverly blvd,CA,LOS ANGELES,True,,,CBS Corporation 2018-4399-1697286
97,419.0,The Alhambra,315.0,"Professional, Technical, and Business Services",2 Alhambra Plaza,['street_address'],2 alhambra plaza,FL,CORAL GABLES,True,,,Rreef Management Company-4408-1699094
98,145.0,Kings Colony,306.0,Apartments/Condominiums,Kings Colony Apartments,"['real_estate_agency', 'point_of_interest', 'establishment']",8961 sw 142 ave,FL,MIAMI,True,,,EQR Portfolio c o Starwo-4462-1954731
99,388.0,The Lincoln,315.0,"Professional, Technical, and Business Services",THE LINCOLN,"['point_of_interest', 'establishment']",1691 michigan avenue,FL,MIAMI BEACH,True,,,Clarion Partners America-4532-2145051
100,337.0,301 Business Center,313.0,Wholesale Trade,9210 E Columbus Dr,['street_address'],9210 e columbus dr,FL,TAMPA,False,321,Industrial Space,Teachers Insurance and A-4448-1825295
101,445.0,WEST FLORIDA HOSPITAL,316.0,Health Care Services,West Florida Hospital,"['hospital', 'health', 'point_of_interest', 'establishment']",8383 n davis highway,FL,PENSACOLA,True,,,HCA Healthcare Inc 2019-4465-1957423
102,288.0,5214,312.0,Retail Trade,Wawa,"['gas_station', 'point_of_interest', 'establishment']",7289 garden rd,FL,RIVIERA BEACH,False,335,gas station,Wawa 2019-4430-1788987
103,538.0,Aeronautics Company,322.0,Heavy Fabrication and Assembly,Lockheed Martin Aeronautics Co,"['point_of_interest', 'establishment']",1011 lockheed way,CA,PALMDALE,True,,,Lockheed Martin Corporat-4414-1712087
104,505.0,Electronic Components,321.0,General Industrial,GE Aviation,"['point_of_interest', 'establishment']",14200 roosevelt blvd,FL,CLEARWATER,True,,,General Electric Company-4416-1713976
105,674.0,CA-21572,365.0,Telephone and Telegraph,211 W D St,['street_address'],211 w d st,CA,ONTARIO,True,,Verizon,Frontier Communications -4478-2011164
106,246.0,Boca Raton Town Center,312.0,Retail Trade,5700 Glades Rd,['street_address'],5700 w glades rd,FL,BOCA RATON,True,,,Macy s Inc 2019-4432-1790007
107,246.0,Boca Raton Town Center,312.0,Retail Trade,5700 Glades Rd,['street_address'],5700 w glades rd,FL,BOCA RATON,True,,,Macy s Inc 2019-4432-1789913
108,342.0,THE DISNEY STORE DISTRIBUTION CENTER,313.0,Wholesale Trade,Disney Warehouse,"['storage', 'point_of_interest', 'establishment']",4795 imagination dr,TN,MEMPHIS,True,,,Walt Disney Company The -4392-1676869
109,71.0,Springfield Casino,304.0,Temporary Lodging,MGM Springfield,"['casino', 'lodging', 'point_of_interest', 'establishment']",1 mgm way,MA,SPRINGFIELD,True,also 317,casino,MGM Resorts Internationa-4443-1814052
110,158.0,Parc on Powell,306.0,Apartments/Condominiums,Parc on Powell Apartments,"['point_of_interest', 'establishment']",1333 powell st,CA,EMERYVILLE,True,,,Equity Residential 2019-4463-1954959
111,647.0,Salt Lake City International Airport,353.0,Air,776 N Terminal Dr,['premise'],776 n terminal dr,UT,SALT LAKE CITY,True,,,Delta Air Lines Inc 2018-4397-1686518
