index,LocationName,Occupancy Code,Occupancy Class,name,types,Street,Area,City,Seems Right,Correction,
79,The Allegro at Boynton Beach  L.L.C,305,Group Institutional Housing,"Allegro - Boynton Beach, FL","['health', 'point_of_interest', 'establishment']",11450 hagen ranch rd,FL,BOYNTON BEACH,TRUE,,
185,Galveston Place,312,Retail Trade,Galveston Place,"['shopping_mall', 'point_of_interest', 'establishment']",2705 2815 61st street,TX,GALVESTON,TRUE,,
86,The Gardens of Port St. Lucie,305,Group Institutional Housing,The Gardens of Port St. Lucie,"['health', 'point_of_interest', 'establishment']",1699 s e lyngate drive,FL,PORT ST. LUCIE,TRUE,,
240,1001 Pennsylvania Ave,315,"Professional, Technical, and Business Services",1001 Pennsylvania Ave,['street_address'],1001 pennsylvania ave,NC,WASHINGTON,TRUE,,
289,International Marine Terminals,321,General Industrial,International Marine Terminals,"['point_of_interest', 'store', 'establishment']",18559 louisiana hwy 23,LA,PORT SULPHUR,FALSE,354,
133,Surf Club Resort Main Tower,306,Apartments/Condominiums,The Surf Club of Marco Resort,"['lodging', 'point_of_interest', 'establishment']",540 south collier,FL,MARCO ISLAND,FALSE,304,
361,LA HABRA BAKERY,429,Food and Drug Processing - General,La Habra Bakery,"['food', 'point_of_interest', 'establishment']",s cypress street,CA,LA HABRA,TRUE,,
334,Comcast Cable Communications,365,Telephone and Telegraph,Comcast Service Center - Closed,"['point_of_interest', 'establishment']",141 nw 16th street,FL,POMPANO BEACH,TRUE,,
335,Comcast Cable Communications,365,Telephone and Telegraph,Earthlink Business,"['point_of_interest', 'establishment']",26100 bonita grande drive,FL,BONITA SPRINGS,TRUE,,
72,TRYP by Wyndham Miami Bay Harbor,304,Temporary Lodging,TRYP by Wyndham Miami Bay Harbor,"['lodging', 'point_of_interest', 'establishment']",9540 west bay harbor drive,FL,BAY HARBOR ISLANDS,TRUE,,
336,nan,365,Telephone and Telegraph,NMA Investments,"['finance', 'point_of_interest', 'establishment']",36 ne second st,FL,MIAMI,FALSE,,
203,nan,315,"Professional, Technical, and Business Services",NMA Investments,"['finance', 'point_of_interest', 'establishment']",36 northeast 2nd street,FL,MIAMI,TRUE,,
267,St. Joseph Hospital  Eureka,316,Health Care Services,St. Joseph Hospital Eureka,"['hospital', 'health', 'point_of_interest', 'establishment']",2700 dolbeer st,CA,EUREKA,TRUE,,
16,Harrah's Gulf Coast,304,Temporary Lodging,Harrah's Gulf Coast,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",280 beach blvd,MS,BILOXI,TRUE,,
14,West Palm Embassy,304,Temporary Lodging,Embassy Suites by Hilton Palm Beach Gardens PGA Boulevard,"['lodging', 'point_of_interest', 'establishment']",4350 pga boulevard,FL,PALM BEACH GARDENS,TRUE,,
65,Boomtown Harvey Hotel,304,Temporary Lodging,Boomtown Casino & Hotel New Orleans,"['casino', 'point_of_interest', 'establishment']",4132 peters rd,LA,HARVEY,TRUE,,
243,55 Second Street-Tower,315,"Professional, Technical, and Business Services",KPMG Building,['premise'],55 2nd st,CA,SAN FRANCISCO,TRUE,,
352,Commercial Metals Company,401,Heavy Fabrication and Assembly - General,CMC Rebar,"['point_of_interest', 'establishment']",2025 tigertail boulevard,FL,DANIA BEACH,TRUE,,
0,CBS TV Stations,300,Unknown,CBS News,"['point_of_interest', 'establishment']",8900 nw 18th terrace,FL,MIAMI,TRUE,,
202,nan,314,Personal and Repair Services,Ann/Nan's Ultimate Nails,"['beauty_salon', 'point_of_interest', 'establishment']",600 terminal dr ste 404,FL,FORT LAUDERDALE,TRUE,,
185,Galveston Place,312,Retail Trade,Galveston Place,"['shopping_mall', 'point_of_interest', 'establishment']",2705 2815 61st street,TX,GALVESTON,TRUE,,
160,ESTERO BAY CHEVROLET,312,Retail Trade,Estero Bay Chevrolet,"['car_dealer', 'point_of_interest', 'store', 'establishment']",10640 chevrolet way,FL,ESTERO,TRUE,car dealership,
