,geometry,name,photos,place_id,plus_code,vicinity,types,LocationID
0,"{'location': {'lat': 25.789825, 'lng': -80.34106039999999}, 'viewport': {'northeast': {'lat': 25.79101632989272, 'lng': -80.33970637010727}, 'southwest': {'lat': 25.78831667010728, 'lng': -80.34240602989271}}}",CBS News,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105034968250965965842"">Ray Corona</a>'], 'photo_reference': 'CmRaAAAAHtreQtLThH4YD0y2aGBQjgPdySN6NU_y_Q2eRbvKSHuGllhHUAuIaElIMNO8VYIEsI9zEvPMINJuUK4-Q31BqQBhfnmRHKitDAOQS8j5nlcxc3hLD7qZcakevSsQ8k_VEhCwjGZTfWKb8leoDLHsaI-BGhRabCQUsAaHeltENmgikk4J8Oa5lw', 'width': 2988}]",ChIJdSOoKRW52YgRI4nsuySGEhE,"{'compound_code': 'QMQ5+WH Doral, Florida', 'global_code': '76QXQMQ5+WH'}","8900 NW 18th Terrace, Doral","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697081
1,"{'location': {'lat': 37.7862722, 'lng': -122.3973167}, 'viewport': {'northeast': {'lat': 37.78754082989272, 'lng': -122.3960043201073}, 'southwest': {'lat': 37.78484117010728, 'lng': -122.3987039798927}}}",CBS Interactive,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104503129662662673597"">Brandon Harrington</a>'], 'photo_reference': 'CmRaAAAAbb7K_MEAfai8_YR0Pgniv9qSK4Sm7QzvK9FMZcaXqLZgTEdBKAHJ-INcESq465-S6If39mM6VhEOTdqKRvjjrEhM7qxq8oIAVvhMG33EPkd6AIDI3zNzZRpmdRQxUpqhEhA87FaMXQDMWgy8cKKFcQnWGhQktmJavv6HiuWmp6rf15SjF0j8vQ', 'width': 2688}]",ChIJSaVK9XyAhYAR-Aw6p4s1FoE,"{'compound_code': 'QJP3+G3 SoMa, San Francisco, CA', 'global_code': '849VQJP3+G3'}","235 2nd St, San Francisco","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697216
2,"{'location': {'lat': 37.799158, 'lng': -122.4014031}, 'viewport': {'northeast': {'lat': 37.80057237989272, 'lng': -122.3999578701072}, 'southwest': {'lat': 37.79787272010728, 'lng': -122.4026575298927}}}",CBS News,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113835259270710759463"">Scott Pittman</a>'], 'photo_reference': 'CmRaAAAAKlBba7wT3d8FQzF5RX-oSV4Nupxjt5bSu1k_iL880PEuqpLMAn5ILqd4KrLkED_kCDpb0ewjN6uxvbFaaU4ZGOAEP9QH9ZVwYhuw4fbZFXnzCRUZiECaksQ5z3Hs7UbjEhCyxZ8o2bpThfm8JbJcJAz5GhTdvDN6Ea2WqslgIV0HVA-a2wKvGA', 'width': 4032}]",ChIJ9Xhjf1-AhYARPnt7dvbFKWo,"{'compound_code': 'QHXX+MC North Beach, San Francisco, CA', 'global_code': '849VQHXX+MC'}","855 Battery St, San Francisco","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697032
3,"{'location': {'lat': 34.0744444, 'lng': -118.3605556}, 'viewport': {'northeast': {'lat': 34.07573447989272, 'lng': -118.3592577701073}, 'southwest': {'lat': 34.07303482010728, 'lng': -118.3619574298927}}}",Television City,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104103272288708833384"">A Google User</a>'], 'photo_reference': 'CmRaAAAAWJtqO-IWJMOU9kGQ2PBmEImsQ5m3lp149PQcy7zWMcd64y66x4KxKXVmtaFHZpsWfjJt-L_JEcdigcMR7pnU17Z_Aqq-N7RbxPkpFTDfnMnOqUf3RyL_-bWloed-CYioEhDwEc5v_MlP6zBuOp3weUXbGhTtXm8PJnhAJnPh4HYFn0ekFU1_1Q', 'width': 960}]",ChIJVQJjDjK5woARwLT6Dx67U1A,"{'compound_code': '3JFQ+QQ Los Angeles, California', 'global_code': '85633JFQ+QQ'}","7800 Beverly Blvd, Los Angeles","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697273
4,"{'location': {'lat': 37.799158, 'lng': -122.4014031}, 'viewport': {'northeast': {'lat': 37.80057237989272, 'lng': -122.3999578701072}, 'southwest': {'lat': 37.79787272010728, 'lng': -122.4026575298927}}}",CBS News,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113835259270710759463"">Scott Pittman</a>'], 'photo_reference': 'CmRaAAAAV_zg1uo1kQ7hc-Uc6B6MRVCm05ysj6Sj4So4izwZQ892R4MT2AExmfJRh_U75D91PXObPnQ_aWEyymZaJkB68rywXqcri5SZsU9GMA5JIMIgHd0ocnQYIOq06IiEfta4EhCN5jkVSIlOmePG1ndBx4WVGhRc8MEBKBHC2jsnLR59pZFRBk_rnA', 'width': 4032}]",ChIJ9Xhjf1-AhYARPnt7dvbFKWo,"{'compound_code': 'QHXX+MC North Beach, San Francisco, CA', 'global_code': '849VQHXX+MC'}","855 Battery St, San Francisco","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697041
5,"{'location': {'lat': 25.789825, 'lng': -80.34106039999999}, 'viewport': {'northeast': {'lat': 25.79101632989272, 'lng': -80.33970637010727}, 'southwest': {'lat': 25.78831667010728, 'lng': -80.34240602989271}}}",CBS News,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105034968250965965842"">Ray Corona</a>'], 'photo_reference': 'CmRaAAAAJ2mzzUBl41hyJ59jW_gYlQLrUnlueOZgvJ1YL8uKfmGl4MDdYNYIeF7kV41srOMerC9ad8cZh0lZlEXXjeqqHFIieJOT3-RVT2a-YCOzyAlEc9xPoNiKA1uSHA3LSnAoEhByExBVZz7RGQ0b_NfcU7y-GhRfukn_OJvU6ZUYO1ovzhudd8glHQ', 'width': 2988}]",ChIJdSOoKRW52YgRI4nsuySGEhE,"{'compound_code': 'QMQ5+WH Doral, Florida', 'global_code': '76QXQMQ5+WH'}","8900 NW 18th Terrace, Doral","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697070
6,"{'location': {'lat': 27.8685857, 'lng': -82.63278129999999}, 'viewport': {'northeast': {'lat': 27.86977512989272, 'lng': -82.63143182010728}, 'southwest': {'lat': 27.86707547010728, 'lng': -82.63413147989273}}}",365 105th Terrace NE,,ChIJt1cw_YnmwogROZ550ByKYoc,,St. Petersburg,['premise'],CBS Corporation 2018-4399-1697131
7,"{'location': {'lat': 40.815055, 'lng': -73.2371757}, 'viewport': {'northeast': {'lat': 40.81682852989272, 'lng': -73.23572437010726}, 'southwest': {'lat': 40.81412887010728, 'lng': -73.23842402989271}}}",Showtime Networks,,ChIJUYCLblow6IkRHjaipx3iwzA,"{'compound_code': 'RQ87+24 Hauppauge, New York', 'global_code': '87G8RQ87+24'}","45 Oser Ave, Hauppauge","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697393
8,"{'location': {'lat': 34.0744444, 'lng': -118.3605556}, 'viewport': {'northeast': {'lat': 34.07573447989272, 'lng': -118.3592577701073}, 'southwest': {'lat': 34.07303482010728, 'lng': -118.3619574298927}}}",Television City,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104103272288708833384"">A Google User</a>'], 'photo_reference': 'CmRaAAAA9JH7AjTi1HmoyrzVED_SZZP_9mKfXr0zDZcwXHaexjkC8LkSi1VRZr77P7Uo58TVj_R2pFZRLYcDbxRD-YOFJ21oyP_7D81NiBC9En_rwujzN3ythFoAuqEY1ezLIIXTEhCPScpRhhKutfAnsFLiv2ZxGhQAYYgjLNsDlm5sV8AKRikwSR9NHQ', 'width': 960}]",ChIJVQJjDjK5woARwLT6Dx67U1A,"{'compound_code': '3JFQ+QQ Los Angeles, California', 'global_code': '85633JFQ+QQ'}","7800 Beverly Blvd, Los Angeles","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697286
9,"{'location': {'lat': 34.1471135, 'lng': -118.390316}, 'viewport': {'northeast': {'lat': 34.14831522989272, 'lng': -118.3890507701073}, 'southwest': {'lat': 34.14561557010728, 'lng': -118.3917504298927}}}",CBS Broadcasting,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102866733849316275836"">A Google User</a>'], 'photo_reference': 'CmRaAAAAkTRJmVwi7ZtgjTjDdIZkmVtme1PPuFq4NuPkJragi_avnXdIf-aomAoCm1vJJ1bEIUoN2IJRKtchrj3KdYyagJ_3DEXf98k-k0iqbyvPBeJm5LgoTYc4sBLwnD9HisccEhBnBnC79yXjWqn9FMf0LXeUGhQlHIv9O6SJwaUUQV8Ef2WWhXsDJA', 'width': 4032}]",ChIJxwbhBAe-woARjUDay6SCMwE,"{'compound_code': '4JW5+RV Los Angeles, California', 'global_code': '85634JW5+RV'}","4200 Radford Ave, Studio City","['point_of_interest', 'establishment']",CBS Corporation 2018-4399-1697011
